system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,NDWI,class,.geo
54_0,0.15135,0.0611,0.0184,0.028,0.01485,0.2493,-0.25908956,0.87905455,-0.7923068,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.22775,0.1331,0.0629,0.0874,0.0837,0.286,-0.11260289,0.5421407,-0.5342121,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0.1816,0.1079,0.06095,0.0763,0.06645,0.25265002,-0.15839782,0.5883515,-0.5369924,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,0.24675,0.14675,0.1327,0.1738,0.1713,0.444,-0.3001462,0.44196612,-0.44608226,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.2144,0.13135,0.048,0.07655,0.0669,0.3186,-0.2179863,0.66941977,-0.5952352,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.2284,0.1327,0.0672,0.0971,0.0778,0.4264,-0.30363747,0.6510428,-0.6034354,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,0.59565,0.5614,0.3968,0.4996,0.5822,0.6765,-0.07099397,0.08623496,-0.1552265,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.1355,0.11535,0.1368,0.1527,0.1742,0.20985,-0.2119454,0.0868356,-0.14554754,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.2803,0.1991,0.1451,0.1679,0.188,0.47820002,-0.26520061,0.43025106,-0.4778082,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.2273,0.161,0.0834,0.122,0.1054,0.3563,-0.21496181,0.5699349,-0.4760312,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.2277,0.1358,0.0718,0.0993,0.0966,0.2876,-0.12593763,0.5325831,-0.49722442,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.245,0.17765,0.08265,0.1048,0.1035,0.2617,-0.032479156,0.40928507,-0.4192482,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,0.22855,0.14145,0.07375,0.0956,0.0924,0.3274,-0.17379215,0.56679434,-0.5561407,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.27555,0.21175,0.05565,0.0681,0.095,0.26415,0.012870747,0.46043885,-0.5765782,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0.2544,0.17425,0.0437,0.0623,0.06275,0.28509998,-0.07397954,0.64575976,-0.66329145,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,0.24275,0.1525,0.05865,0.085,0.1319,0.2908,-0.08947656,0.40447384,-0.557262,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,0.26515,0.22535,0.06,0.07905,0.1114,0.20575,0.13188708,0.29068774,-0.4349858,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,0.2319,0.161,0.07355,0.0919,0.1159,0.22465,0.012537735,0.32713076,-0.41990367,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,0.23285,0.1523,0.0447,0.0611,0.078,0.2702,-0.06981702,0.5444673,-0.6377394,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,0.273,0.22525,0.05255,0.0727,0.09875,0.19725001,0.14468476,0.34335905,-0.472485,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,0.2628,0.1955,0.052,0.0737,0.0862,0.23115,0.043076105,0.46350303,-0.5122008,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,0.2752,0.202,0.0873,0.0985,0.1496,0.27535,-0.03186483,0.3122812,-0.47625914,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,0.2792,0.2182,0.0544,0.073,0.0976,0.2252,0.10065804,0.41624722,-0.51031584,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,0.2406,0.1947,0.0628,0.0759,0.0938,0.2026,0.08252464,0.3769268,-0.45263672,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,0.25105,0.1901,0.06575,0.07895,0.09115,0.16534999,0.20039068,0.28167662,-0.35446906,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,0.27055,0.21805,0.0649,0.0809,0.0984,0.21375,0.10503159,0.37206963,-0.45076728,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,0.24325,0.157,0.0561,0.0819,0.0707,0.31305,-0.13361588,0.6351103,-0.5816532,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,0.223,0.1483,0.07325,0.09065,0.0977,0.21704999,0.021248132,0.36482492,-0.40909523,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,0.223,0.1483,0.06795,0.0862,0.08765,0.25785,-0.0601293,0.49086297,-0.47511986,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,0.24325,0.157,0.04775,0.0723,0.0573,0.32459998,-0.13626042,0.69715345,-0.6286967,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,0.26965,0.21565,0.0723,0.0915,0.0894,0.25725,0.031256035,0.4696182,-0.4614891,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,0.2714,0.19665,0.1086,0.1315,0.1378,0.2823,-0.009762681,0.3341699,-0.3714319,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,0.2854,0.2513,0.1029,0.1197,0.1718,0.2493,0.06598224,0.17988022,-0.3528149,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,0.23305,0.1674,0.04855,0.06395,0.08545,0.3017,-0.14313936,0.5762163,-0.6292054,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,0.22295,0.1816,0.0762,0.09525,0.1063,0.1968,0.064203344,0.2941164,-0.3399674,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,0.207,0.14215,0.0454,0.06915,0.06395,0.2924,-0.1701823,0.6623904,-0.6240602,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.24255,0.18155,0.0705,0.08765,0.1074,0.24849999,-0.030888552,0.39544606,-0.47385785,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,0.2388,0.17155,0.0465,0.0715,0.114,0.3067,-0.1577954,0.464826,-0.6447306,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,0.29065,0.24645,0.0841,0.09435,0.1128,0.26,0.054019514,0.3935411,-0.46439844,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,0.24685,0.18225,0.06395,0.0794,0.0969,0.24135,0.019228302,0.43446806,-0.51551783,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,0.2485,0.1671,0.0442,0.0643,0.0659,0.26905,-0.037801217,0.6177607,-0.6076291,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,0.2611,0.2081,0.08855,0.0988,0.112,0.2062,0.12983523,0.2982495,-0.34648418,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,0.2577,0.215,0.0502,0.063,0.0847,0.1829,0.15699211,0.3763447,-0.4962637,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,0.26985,0.22875,0.06935,0.08605,0.1011,0.25015,0.045945194,0.42213872,-0.48465657,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
