system:index,B11,B12,B2,B3,B4,B8,NDVI,class,.geo
156_0,2041.0,1072.0,376.0,701.0,481.0,3840.0,0.77736634,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,2329.0,1341.0,378.0,696.0,418.0,4223.0,0.82097185,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,2210.0,1349.0,476.0,710.0,592.0,3055.0,0.6757053,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,1852.0,849.0,354.0,552.0,344.0,3948.0,0.8306717,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,1935.0,932.0,410.0,758.0,430.0,3792.0,0.79430455,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,1985.0,952.0,371.0,650.0,377.0,3355.0,0.8101545,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,2209.0,1157.0,328.0,612.0,259.0,4231.0,0.88719785,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,2143.0,1297.0,433.0,738.0,756.0,2441.0,0.55015975,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,2238.0,1158.0,369.0,686.0,542.0,3768.0,0.7484919,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,2023.0,1087.0,432.0,722.0,520.0,3220.0,0.7319773,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,2140.0,1075.0,384.0,662.0,414.0,3721.0,0.78861374,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,2042.0,1110.0,404.0,692.0,522.0,3398.0,0.7283767,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,2111.0,1084.0,325.0,565.0,371.0,3948.0,0.82948893,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,2079.0,1059.0,438.0,692.0,436.0,3852.0,0.79831934,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,1911.0,993.0,433.0,822.0,563.0,3255.0,0.7045395,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,1761.0,873.0,326.0,552.0,321.0,3737.0,0.83831453,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,1562.0,676.0,297.0,492.0,291.0,3696.0,0.85118437,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,2516.0,1323.0,424.0,722.0,528.0,3520.0,0.7518797,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,1815.0,795.0,298.0,582.0,256.0,3752.0,0.87950104,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,2082.0,1306.0,387.0,638.0,445.0,3564.0,0.78934914,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,2082.0,1306.0,471.0,760.0,704.0,2883.0,0.53773904,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,1977.0,1065.0,394.0,693.0,417.0,3577.0,0.7774813,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,2198.0,1180.0,405.0,720.0,455.0,3672.0,0.76779026,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,1993.0,886.0,331.0,684.0,336.0,4404.0,0.850733,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,2354.0,1176.0,408.0,776.0,548.0,3729.0,0.76043713,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,2352.0,1184.0,426.0,776.0,586.0,3960.0,0.74219096,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,2165.0,1153.0,334.0,672.0,460.0,4070.0,0.77804583,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,2390.0,1362.0,399.0,702.0,570.0,3485.0,0.6702467,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,2095.0,1143.0,396.0,725.0,497.0,3136.0,0.7249725,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,2771.5,1462.0,502.5,876.5,659.5,3871.0,0.7103893,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,2505.5,1223.5,441.0,784.0,528.5,4098.0,0.77101386,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,2081.5,985.0,370.5,792.5,412.0,3932.0,0.809645,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,2586.0,1368.0,436.0,723.0,559.0,3584.0,0.7287009,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,2334.0,1152.0,455.5,808.0,551.0,4010.5,0.74864686,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,2127.5,1036.0,380.5,646.0,512.0,3088.5,0.71472305,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
