system:index,B11,B12,B2,B3,B4,B8,class,.geo
89_0,2070.0,1421.5,454.0,691.5,639.5,2924.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,2425.5,1815.5,705.0,876.5,1074.0,2485.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,2403.5,1718.0,476.0,721.5,1145.0,3071.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,2917.5,2468.5,845.0,945.5,1132.0,2610.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,2474.5,1824.5,640.5,794.0,976.5,2418.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,2489.0,1687.5,457.0,644.5,666.0,2734.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,2617.5,2084.0,893.0,995.0,1120.0,2067.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,2623.0,2161.0,502.5,636.0,850.0,1832.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,2698.5,2287.5,693.5,860.5,1011.0,2501.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,2730.0,2083.0,572.0,730.0,898.5,2516.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,2498.5,1757.0,463.5,661.5,663.0,2928.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,2141.5,1230.5,357.0,594.5,429.5,3430.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,2671.5,2137.0,490.0,700.0,751.0,2871.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,2555.0,1674.5,495.0,711.0,673.5,3278.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,2604.0,1825.0,476.5,794.0,754.0,3620.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,2629.5,1971.5,529.0,841.0,823.5,3392.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,2613.5,1896.0,530.5,795.5,801.0,2914.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,2864.5,2531.5,1258.0,1735.0,1989.0,3126.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,1780.0,870.5,338.5,571.5,351.0,3288.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,2842.0,1942.5,634.0,922.5,1081.0,2436.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,2131.0,1278.5,496.0,749.5,660.5,2810.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
